Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-11-10,11.7996,12.5114,11.7996,12.4614,114992709.35277
2004-11-12,12.4614,13.1226,12.4614,12.5627,41084394.793899
2004-11-15,12.4614,12.5627,12.2603,12.5114,17090452.259078
2004-11-16,12.4614,12.5114,12.4107,12.4614,7756547.4683053
2004-11-17,12.4614,12.5114,12.36,12.4614,6402893.668148
2004-11-18,12.4614,12.5114,12.4107,12.4614,3561298.5538767
2004-11-19,12.5114,12.5114,12.36,12.36,5942417.6996068
2004-11-22,12.3102,12.36,12.1026,12.2603,7282341.1099951
2004-11-23,12.2097,12.2603,12.1026,12.2097,7035033.7011166
2004-11-24,12.2097,12.2097,12.1026,12.2097,6292534.5568995
2004-11-25,12.2097,12.5627,12.2097,12.5627,5565746.4699245
2004-11-26,12.5114,12.5627,12.4107,12.5627,2112941.9920111
2004-11-29,12.5114,12.6135,12.4614,12.6135,4506323.1230626
2004-11-30,12.6135,12.7639,12.5627,12.7141,9881988.9267974
2004-12-01,12.5627,12.8201,12.5114,12.8201,4886026.9001186
2004-12-02,12.7639,13.022,12.7639,12.9713,5315442.5710212
2004-12-03,12.9713,13.022,12.8691,13.022,5345357.7369946
2004-12-06,12.9199,12.9713,12.7639,12.9199,2266311.3036483
2004-12-07,12.8691,13.1724,12.8691,13.1724,5466102.6080675
2004-12-08,13.022,13.1226,12.9713,13.0719,2469557.875594
2004-12-09,12.9713,13.022,12.8691,12.9199,1664381.1122282
2004-12-10,12.8691,13.0719,12.8691,12.9713,4685678.5930059
2004-12-13,12.9199,12.9713,12.7141,12.8201,1934929.3474731
2004-12-14,12.7639,12.9199,12.7141,12.8201,3009954.3361735
2004-12-15,12.7639,12.8691,12.7141,12.7639,1697204.4898896
2004-12-16,12.7639,12.9713,12.7141,12.9199,2621752.2150016
2004-12-17,12.8691,13.223,12.8201,13.223,4902437.9672708
2004-12-20,13.223,13.733,13.223,13.6824,5984683.1292383
2004-12-21,13.5817,14.0354,13.4804,13.9348,4495555.6526831
2004-12-22,13.9847,14.4955,13.5817,13.9348,4978286.4656032
2004-12-23,13.7836,14.0354,13.4804,13.4804,2305386.2795854
2004-12-24,13.4804,13.6824,13.4297,13.6824,468373.77129524
2004-12-27,13.6824,13.6824,13.5311,13.6317,876853.7994439
2004-12-28,13.6317,13.6317,13.4297,13.4804,1158112.3106529
2004-12-29,13.4804,13.9348,13.4804,13.8334,2452796.1818082
2004-12-30,13.8841,14.242,13.8841,14.0917,2029860.8868429
2004-12-31,14.0917,14.242,14.0917,14.1424,721393.16157366
2005-01-03,14.242,14.5952,14.1921,14.4448,2778969.7161105
2005-01-04,14.3434,14.4448,14.1921,14.3434,1947755.8168073
2005-01-05,14.242,14.3434,13.9348,13.9348,2709213.6663761
2005-01-06,13.8841,14.242,13.6317,14.1424,2584169.2672926
2005-01-07,14.0917,14.3933,14.0354,14.3933,2679746.1088711
2005-01-10,14.242,14.2928,14.0354,14.0917,1999516.7627539
2005-01-11,14.1424,14.1921,13.8334,14.1424,1919816.3448793
2005-01-12,13.9847,14.1424,13.8841,14.1424,1063746.4986528
2005-01-13,14.1424,14.242,14.0354,14.1921,2983459.644913
2005-01-14,14.0917,14.1424,13.8841,13.8841,1482063.9662521
2005-01-17,13.9348,14.0354,13.733,13.9348,2166856.4320335
2005-01-18,13.4804,13.8334,13.3244,13.4297,2845910.8059211
2005-01-19,13.273,13.733,13.1226,13.733,4986756.2125115
2005-01-20,13.5817,13.8841,13.4297,13.5311,5738227.4198068
2005-01-21,13.4297,13.5311,13.223,13.3244,1979190.3648598
2005-01-24,13.223,13.4804,13.223,13.4804,1633087.0635006
2005-01-25,13.4804,13.7836,13.4297,13.733,2443433.7046769
2005-01-26,13.733,13.9348,13.6317,13.9348,1560690.1238025
2005-01-27,13.8334,13.9348,13.6824,13.6824,2191799.4139369
2005-01-28,13.6824,13.6824,13.5311,13.5311,2115470.9798577
2005-01-31,13.5817,13.5817,13.4297,13.4804,1369853.4966439
2005-02-01,13.4804,13.733,13.4297,13.6317,1549103.2812545
2005-02-02,13.6317,13.6317,13.3244,13.3751,1464669.4038262
2005-02-03,13.3751,13.4804,13.273,13.3244,1753826.961146
2005-02-04,13.3751,13.733,13.3751,13.6824,2642680.3976145
2005-02-07,13.7836,13.8334,13.6317,13.8334,1757852.9506482
2005-02-08,13.8334,13.8334,13.733,13.7836,1374621.7701896
